# External inputs consumed by the real-data path (docs/REAL_DATA.md), one
# row per artifact, named exactly as the scripts reference it. Checksums and
# accessions are filled only where the repo records them: the Pan-UKB files
# carry published MD5s (scripts/panukb_checksums.tsv); everything else says
# 'unrecorded', and sources the repo does not record are UNKNOWN rather than
# guessed. Column semantics: results/schema.md, 'Input manifest'.
artifact	role	source_url_or_accession	checksum_md5	date_recorded
LD_with_blocks_chr7.rds	bigsnpr HM3+ EUR LD correlations, chr7 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr8.rds	bigsnpr HM3+ EUR LD correlations, chr8 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr9.rds	bigsnpr HM3+ EUR LD correlations, chr9 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr10.rds	bigsnpr HM3+ EUR LD correlations, chr10 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr11.rds	bigsnpr HM3+ EUR LD correlations, chr11 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr12.rds	bigsnpr HM3+ EUR LD correlations, chr12 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr13.rds	bigsnpr HM3+ EUR LD correlations, chr13 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr14.rds	bigsnpr HM3+ EUR LD correlations, chr14 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr15.rds	bigsnpr HM3+ EUR LD correlations, chr15 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr16.rds	bigsnpr HM3+ EUR LD correlations, chr16 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr17.rds	bigsnpr HM3+ EUR LD correlations, chr17 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr18.rds	bigsnpr HM3+ EUR LD correlations, chr18 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr19.rds	bigsnpr HM3+ EUR LD correlations, chr19 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr20.rds	bigsnpr HM3+ EUR LD correlations, chr20 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr21.rds	bigsnpr HM3+ EUR LD correlations, chr21 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr22.rds	bigsnpr HM3+ EUR LD correlations, chr22 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
biomarkers-30780-both_sexes-irnt.tsv.bgz	Pan-UKB EUR sumstats: LDL	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30780-both_sexes-irnt.tsv.bgz	c25276f209b3841c5ab73e711c66d20f	2026-08-16
continuous-21001-both_sexes-irnt.tsv.bgz	Pan-UKB EUR sumstats: BMI	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz	ca9ceaa99c79d510fb0e26a780787416	2026-08-16
continuous-4080-both_sexes-irnt.tsv.bgz	Pan-UKB EUR sumstats: SBP	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-4080-both_sexes-irnt.tsv.bgz	5ea34de716da95971da0a797b47ce721	2026-08-16
continuous-50-both_sexes-irnt.tsv.bgz	Pan-UKB EUR sumstats: height	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-50-both_sexes-irnt.tsv.bgz	d883d1ec0840c3fec63457648ef0cb2f	2026-08-16
icd10-C50-both_sexes.tsv.bgz	Pan-UKB EUR sumstats: BrCa	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C50-both_sexes.tsv.bgz	8c62e9350043c2215998f285fe2628a9	2026-08-16
icd10-E11-both_sexes.tsv.bgz	Pan-UKB EUR sumstats: T2D	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-E11-both_sexes.tsv.bgz	cd2d059ee20ec1358cee087f84ebd4df	2026-08-16
icd10-F32-both_sexes.tsv.bgz	Pan-UKB EUR sumstats: MDD	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-F32-both_sexes.tsv.bgz	869c7f5c85bff350acc2524b64f9257b	2026-08-16
icd10-I25-both_sexes.tsv.bgz	Pan-UKB EUR sumstats: IHD (CAD target)	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I25-both_sexes.tsv.bgz	6d2c168640a02b336ecf19358021b3ad	2026-08-16
icd10-J45-both_sexes.tsv.bgz	Pan-UKB EUR sumstats: asthma	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz	93ef78eae918ef0d26ddb4f44f2f6c4b	2026-08-16
# The eight rows below are pinned by SHA-256 in code rather than by MD5 here:
# the six GWAS Catalog files in scripts/ancestry_frequency_gwas_benchmark.py
# (STUDIES), and the 1000G/IGSR sources in scripts/build_ancestry_panels.py,
# which fails closed unless a download matches IGSR's published size and MD5.
GCST90245989.h.tsv.gz	Yengo 2022 height GWAS, AFR ancestry-specific (ancestry benchmarks)	GCST90245989	unrecorded	2026-08-30
GCST90245990.h.tsv.gz	Yengo 2022 height GWAS, five-ancestry pooled meta-analysis (ancestry benchmarks)	GCST90245990	unrecorded	2026-08-30
GCST90245991.h.tsv.gz	Yengo 2022 height GWAS, EAS ancestry-specific (ancestry benchmarks)	GCST90245991	unrecorded	2026-08-30
GCST90245992.h.tsv.gz	Yengo 2022 height GWAS, EUR ancestry-specific (ancestry benchmarks)	GCST90245992	unrecorded	2026-08-30
GCST90245993.h.tsv.gz	Yengo 2022 height GWAS, Hispanic/Latin American (ancestry benchmarks)	GCST90245993	unrecorded	2026-08-30
GCST90245994.h.tsv.gz	Yengo 2022 height GWAS, SAS ancestry-specific (ancestry benchmarks)	GCST90245994	unrecorded	2026-08-30
ALL.chr*.phase3_*.genotypes.vcf.gz	1000G phase-3 release VCFs: per-super-population allele frequencies and LD (IGSR)	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/release/20130502	unrecorded	2026-08-30
current.tree	IGSR checksum index pinning size and MD5 of each release VCF	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/current.tree	unrecorded	2026-08-30
